Day,Start time,End time,Course ID,Room
Monday,9:00,10:00,A206,B700
Monday,10:00,12:00,B22,B700 and B701
Monday,10:00,12:00,A220,B506
Monday,10:00,12:00,A209,B711
Monday,10:00,12:00,A313,B712
Monday,10:00,12:00,A221,B714a
Monday,10:30,12:00,A314,B715
Monday,13:00,16:00,A206,B702a
Monday,13:00,16:00,A220,B506
Monday,13:00,15:00,A202,B714a
Monday,13:00,15:00,A212,B712
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,A220,B506
Tuesday,10:00,12:00,B24,B711
Tuesday,10:00,12:00,A407,B712
Tuesday,13:00,16:00,A220,B506
Tuesday,13:00,15:00,A401,B711
Tuesday,13:00,16:00,A213,B506
Tuesday,15:30,17:30,A104,B715
Tuesday,16:00,17:30,SC,B712
Wednesday,9:00,10:00,A206,B700
Wednesday,11:00,12:00,A314,B715
Wednesday,10:00,12:00,A216,B700
Wednesday,10:00,12:00,A313,B712
Wednesday,10:00,12:00,B24,B711
Wednesday,13:00,17:00,A314,B506/B508
Wednesday,13:00,16:00,A206,B702a
Wednesday,13:00,15:00,A202,B714a
Wednesday,15:30,17:30,A104,B715
Wednesday,16:00,17:00,JP1,C600
Thursday,10:00,12:00,A216,B700
Thursday,10:00,12:00,A221,B711
Thursday,10:00,12:00,A407,B712
Thursday,13:00,15:00,A209,B507
Thursday,13:00,15:00,B22,B700 and B701
Thursday,13:00,15:00,A212,B712
Friday,10:00,12:00,A216,B700
Friday,10:00,12:00,A213,B715
Friday,13:00,14:00,SA,B700
Friday,14:00,16:00,PD1,B700
Friday,14:00,16:00,PD2,C700